"";"shan";"aspt";"poly";"ovov";"rich";"typo";"RR"
"I5150900170712";3,17039102979456;6,66666666666667;0,207525357463892;0,00864000484653311;45;31;"LIRR T"
"I5150900190711";2,2929691937713;6,30434782608696;0,217115150535496;0,0201522778974729;40;31;"IRR T"
"I5150900220807";3,14810388938417;6,92857142857143;0,197275593982687;0,00862715881342329;52;31;"LIRR T"
"I5150900240506";3,52007073417036;6,625;0,20434726757953;0,0125284248364811;50;31;"LIRR T"
"I5150900250505";3,34296421453373;6,84;0,20257079596581;0,00916110127308746;45;31;"LIRR T"
"I5151050060706";2,77426405147779;7,13793103448276;0,232430402718331;0,0503670132089614;47;56;"IRR T"
"I5151050070906";3,46602517278336;6,89655172413793;0,219630940598944;0,0508146590678254;58;56;"IRR T"
"I5151050210807";3,73545436879092;6,96153846153846;0,21856531400514;0,0563563538524544;46;56;"IRR T"
"I5151050310505";3,28408930293448;7,17241379310345;0,247824792896991;0,0518585478221889;55;56;"IRR T"
"I5151100020812";3,61339506590304;6,65217391304348;0,210969635997135;0,00958047367398898;48;30;"LIRR T"
"I5151100060913";3,37815018484982;7,19230769230769;0,214514525390145;0,0081029342625139;50;30;"LIRR T"
"I5151100070906";3,24464159725608;6,44444444444444;0,244000301621288;0,0156577494731908;49;30;"LIRR T"
"I5151100090713";3,10718421760409;6,73913043478261;0,266608743900877;0,0088190323460764;42;30;"LIRR T"
"I5151100160712";3,62323165231189;6,91666666666667;0,274595242463897;0,0203555012074879;43;30;"LIRR T"
"I5151100180706";3,41232379718974;6,75;0,213344496198185;0,0161187296140756;55;30;"LIRR T"
"I5151100180708";2,79826037563228;6,8695652173913;0,251638082271404;0,00947798342645563;44;30;"LIRR T"
"I5151100180711";3,69557411671809;6,83333333333333;0,228847633760379;0,012454700749731;41;30;"LIRR T"
"I5151100270905";4,22670848027289;7,08;0,192632996945091;0,00860435032296908;42;30;"LIRR T"
"I5151100310505";2,13662834947648;6,92592592592593;0,242214891296864;0,0143193358830351;49;30;"LIRR T"
"I5151150060812";3,67772123961205;7;0,219618895814745;0,0397094811213584;62;30;"LIRR T"
"I5151150060813";3,06169171275814;7,17241379310345;0,202380044880555;0,0333640730451319;55;30;"LIRR T"
"I5151150070709";3,23149380975176;6,95833333333333;0,227896902992924;0,0373289640822812;48;30;"LIRR T"
"I5151150070906";3,48641432449082;6,84375;0,220410574398848;0,016345367765529;63;30;"LIRR T"
"I5151150080713";2,64623491620044;6,78260869565217;0,267070477394704;0,0157688749025904;41;30;"LIRR T"
"I5151150170708";2,9550462794535;7,03703703703704;0,242792654290659;0,0415590257474666;50;30;"LIRR T"
"I5151150170712";2,8726237870434;6,82758620689655;0,212162319743474;0,0312395968542803;53;30;"LIRR T"
"I5151150180706";3,77761397722393;6,84615384615385;0,220665080342584;0,0373331368030948;56;30;"LIRR T"
"I5151150190711";3,54146250589187;6,88888888888889;0,203591037620485;0,0202263542629049;44;30;"LIRR T"
"I5151150210807";3,70077304226285;7,03030303030303;0,188565846227785;0,014842939931751;63;30;"LIRR T"
"I5151150310505";4,00912859643909;7,22222222222222;0,241549898669511;0,0173064812258655;52;30;"LIRR T"
"I5151975270809";1,78521444699557;4,66666666666667;0,351691816772064;0,149725117903782;27;49;"IRR T"
"I5153000140911";2,55975206201322;6,46666666666667;0,365592274548753;0,165528800314932;35;49;"IRR T"
"I5153000171012";2,78526238691035;6,66666666666667;0,284748382015463;0,175348327637025;38;49;"IRR T"
"I5153000200709";0,333165810870684;6,54545454545455;0,414904456270355;0,293238822431213;29;49;"IRR T"
"I5153000221013";2,85891320276594;6,31818181818182;0,320985898435215;0,130334167608795;44;49;"IRR T"
"I5153000240908";2,95844113319023;5,82352941176471;0,416414215474544;0,2070117950126;35;49;"IRR T"
"I5153000310810";0,957017128926023;6,25;0,406352223569651;0,203068461100362;36;49;"IRR T"
"I5153945160810";2,73119935804233;4,85714285714286;0,508965090604464;0,303464919226435;15;49;"IRR T"
"I5153945170709";2,53366248350592;2,8;0,637402130835768;0,327881909743394;11;49;"IRR T"
"I5153945210808";1,74596447986144;5,1;0,532057949189608;0,173502546767066;16;49;"IRR T"
"I5153945241013";3,67789632896478;5,875;0,357404769817969;0,185752632275539;29;49;"IRR T"
"I5154400040810";3,12405576381265;6;0,460127466015176;0,329956164441553;28;49;"IRR T"
"I5154400110811";2,0759533268442;5,52380952380952;0,441342807411143;0,321167155338561;30;49;"IRR T"
"I5154400200709";2,23714782828378;5,36842105263158;0,479844257958985;0,246614882965755;33;49;"IRR T"
"I5154400231013";3,58606245536216;5,56;0,403501333503709;0,240444237826794;39;49;"IRR T"
"I5154400240708";2,67420000467966;4,8;0,51606970618934;0,303686046328923;23;49;"IRR T"
"I5154450280809";1,55527442028008;5,53846153846154;0,42822606335717;0,205875684716176;55;49;"IRR T"
"I5155000060810";2,89182654027935;6,125;0,354974229454781;0,128182805534245;37;49;"IRR T"
"I5155000130808";1,36154835085176;5,45454545454545;0,362777164791393;0,224848901494818;32;49;"IRR T"
"I5155000231013";3,31559571999295;6,3125;0,323982369930775;0,0947260892693449;30;49;"IRR T"
"I5155000300909";3,80315161777817;6,08;0,311709483781922;0,142441977350254;51;49;"IRR T"
"I5155300041208";3,40504128067318;5,09090909090909;0,495129484343744;0,227072960395691;15;49;"IRR T"
"I5155300271010";4,2578735493433;6,2962962962963;0,288315561282107;0,119627623478776;53;49;"LIRR T"
"I5155300281013";3,85539415592964;6,51724137931035;0,219651476900954;0,0751170131993868;60;49;"LIRR T"
"I5155600160810";3,57471398844559;6,7;0,282198168161203;0,0281450765888773;42;49;"IRR T"
"I5155600170709";3,38013814182497;6,52173913043478;0,273773284097024;0,0344676502264921;37;49;"IRR T"
"I5155600251013";4,26818706460594;6,40740740740741;0,242973737544235;0,0302214000946319;63;49;"LIRR T"
"I5155600290708";3,78262835272655;6,5;0,323477057953756;0,0574715701128272;57;49;"LIRR T"
"I5155800170709";2,03134841977401;6,1875;0,418098368454097;0,166540933790679;30;49;"IRR T"
"I5155800200808";3,26861322985817;5,33333333333333;0,445148922365726;0,120572371272995;21;49;"IRR T"
"I5156950060810";3,02437677368052;4,84615384615385;0,457664246000153;0,121445247130402;30;49;"IRR T"
"I5156950081009";3,58289657222567;5,10526315789474;0,43536752637244;0,171969138389891;34;49;"IRR T"
"I5156950160708";3,48618995929212;4,5;0,447417273274617;0,154223468611502;22;49;"IRR T"
"I5156950310811";2,99816126441291;5,2;0,486839161723059;0,175476548688668;27;49;"IRR T"
"I5157750130808";2,48153410624732;4,90909090909091;0,393002981950507;0,244889008783653;24;49;"IRR T"
"I5157750150709";2,85694242065462;5,15384615384615;0,347143111551431;0,126598968119341;29;49;"IRR T"
"I5157750230910";1,9406203876087;5,16666666666667;0,378350433988272;0,183250109700845;27;49;"IRR T"
"I5157750231013";2,60995282934871;5,88235294117647;0,313823678322646;0,152921564530508;33;49;"IRR T"
"I5157800060808";3,718653307701;5,57692307692308;0,372965123369957;0,122919371859597;56;49;"IRR T"
"I5157800231013";3,59396249804495;5,52380952380952;0,283467645300073;0,095560051727721;46;49;"IRR T"
"I5157800290609";2,4891284418943;6,35;0,388129034157104;0,14383826146851;49;49;"IRR T"
